id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
blocdavmd1-151-2013-2,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,2,MODO,modo,.,.,.,1,.,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,HOSP,hosp,1,1,.,.,.,2,A/V,a/v,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,MODO,modo,.,.,.,.,1,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,NOCA,noca,.,.,.,.,1,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,GRCA,grca,.,.,1,.,.,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,ROPI,ropi,2,.,.,.,.,2,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,AMRO,amro,.,1,2,.,.,3,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-5,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,5,CARW,carw,.,.,.,.,1,1,A,a,72,0,0,.,.,.,.,.
brenstemd1-153-2013-3,brenstemd1,sck,2/6/2013,2,6,2013,6/2/2013,153,7:55:00,755,3,SOSP,sosp,1,.,1,.,.,2,A,a,75,0,1,.,.,.,.,.
brenstemd1-153-2013-3,brenstemd1,sck,2/6/2013,2,6,2013,6/2/2013,153,7:55:00,755,3,NOCA,noca,.,1,.,.,.,1,A,a,75,0,1,.,.,.,.,.
